facility__i_d,measure__i_d,value,footnote,start__date,end__date
50697,MSPB-1,,1.0,01/01/2022,12/31/2022
50701,MSPB-1,0.992634,,01/01/2022,12/31/2022
50704,MSPB-1,1.173651,,01/01/2022,12/31/2022
50708,MSPB-1,0.968253,,01/01/2022,12/31/2022
50709,MSPB-1,0.928779,,01/01/2022,12/31/2022
50710,MSPB-1,0.844644,,01/01/2022,12/31/2022
50714,MSPB-1,0.928966,,01/01/2022,12/31/2022
50717,MSPB-1,0.979283,,01/01/2022,12/31/2022
50723,MSPB-1,0.974034,,01/01/2022,12/31/2022
50724,MSPB-1,1.004321,,01/01/2022,12/31/2022
50726,MSPB-1,1.017801,,01/01/2022,12/31/2022
50735,MSPB-1,1.182359,,01/01/2022,12/31/2022
50736,MSPB-1,1.033405,,01/01/2022,12/31/2022
50737,MSPB-1,1.103799,,01/01/2022,12/31/2022
50738,MSPB-1,1.283234,,01/01/2022,12/31/2022
50739,MSPB-1,1.030187,,01/01/2022,12/31/2022
50740,MSPB-1,1.095104,,01/01/2022,12/31/2022
50744,MSPB-1,1.27134,,01/01/2022,12/31/2022
50745,MSPB-1,1.222395,,01/01/2022,12/31/2022
50746,MSPB-1,1.123641,,01/01/2022,12/31/2022
50747,MSPB-1,1.241774,,01/01/2022,12/31/2022
50748,MSPB-1,0.971636,,01/01/2022,12/31/2022
50755,MSPB-1,1.151532,,01/01/2022,12/31/2022
50757,MSPB-1,1.100012,,01/01/2022,12/31/2022
50758,MSPB-1,0.947458,,01/01/2022,12/31/2022
50760,MSPB-1,0.907649,,01/01/2022,12/31/2022
50761,MSPB-1,1.04425,,01/01/2022,12/31/2022
50763,MSPB-1,1.362957,,01/01/2022,12/31/2022
50764,MSPB-1,0.920555,,01/01/2022,12/31/2022
50765,MSPB-1,0.73778,,01/01/2022,12/31/2022
50766,MSPB-1,1.100257,,01/01/2022,12/31/2022
50767,MSPB-1,0.957108,,01/01/2022,12/31/2022
50769,MSPB-1,0.953848,,01/01/2022,12/31/2022
50770,MSPB-1,1.042139,,01/01/2022,12/31/2022
